article_title,volume_title,url,retrieval_date_unix,analyzed
Parteiensystem und Koalitionsbeziehungen seit der deutschen Vereinigung,Bundestagswahl 2021,/shop/zeitschriften/izpb/336722/bundestagswahl-2021/,1700288483.867244,TRUE
Die Bundestagswahl 2017 und ihre Folgen,Bundestagswahl 2021,/shop/zeitschriften/izpb/336722/bundestagswahl-2021/,1700288488.490462,TRUE
Die Wahl 2021 – Was ist zu erwarten?,Bundestagswahl 2021,/shop/zeitschriften/izpb/336722/bundestagswahl-2021/,1700288492.865102,TRUE
Literaturhinweise,Bundestagswahl 2021,/shop/zeitschriften/izpb/336722/bundestagswahl-2021/,1700288495.041094,FALSE
Internetadressen & Unterrichtsmaterialien,Bundestagswahl 2021,/shop/zeitschriften/izpb/336722/bundestagswahl-2021/,1700288496.988127,TRUE
Impressum,Bundestagswahl 2021,/shop/zeitschriften/izpb/336722/bundestagswahl-2021/,1700288498.735782,FALSE
Editorial,Weimarer Republik,/shop/zeitschriften/izpb/weimarer-republik-346/,1700288503.225809,TRUE
Konstituierung der Demokratie 1918/1919,Weimarer Republik,/shop/zeitschriften/izpb/weimarer-republik-346/,1700288507.826856,TRUE
Umkämpfte Republik 1919-1923,Weimarer Republik,/shop/zeitschriften/izpb/weimarer-republik-346/,1700288512.047759,TRUE
Gefährdete Stabilität 1924-1929,Weimarer Republik,/shop/zeitschriften/izpb/weimarer-republik-346/,1700288515.745621,TRUE
Zerstörung der Demokratie 1930-1933,Weimarer Republik,/shop/zeitschriften/izpb/weimarer-republik-346/,1700288519.380318,TRUE
Nachbemerkung: die Weimarer Republik als Ort der Demokratiegeschichte,Weimarer Republik,/shop/zeitschriften/izpb/weimarer-republik-346/,1700288522.809036,TRUE
Zeittafel,Weimarer Republik,/shop/zeitschriften/izpb/weimarer-republik-346/,1700288524.906747,TRUE
Literaturangaben und Online-Quellen,Weimarer Republik,/shop/zeitschriften/izpb/weimarer-republik-346/,1700288526.834819,FALSE
Impressum,Weimarer Republik,/shop/zeitschriften/izpb/weimarer-republik-346/,1700288528.863629,FALSE
Europa als Alltagserfahrung,Die Europäische Union im Unterricht,/shop/zeitschriften/izpb/324632/die-europaeische-union-im-unterricht/,1700288538.556097,TRUE
Europa in der Schule – Was leistet die Schule für Europa?,Die Europäische Union im Unterricht,/shop/zeitschriften/izpb/324632/die-europaeische-union-im-unterricht/,1700288543.863606,TRUE
Europa als Thema in Bildungs- und Lehrplänen,Die Europäische Union im Unterricht,/shop/zeitschriften/izpb/324632/die-europaeische-union-im-unterricht/,1700288549.649012,TRUE
Glossar,Die Europäische Union im Unterricht,/shop/zeitschriften/izpb/324632/die-europaeische-union-im-unterricht/,1700288551.471886,TRUE
Impressum,Die Europäische Union im Unterricht,/shop/zeitschriften/izpb/324632/die-europaeische-union-im-unterricht/,1700288553.290675,FALSE
Editorial,Europäische Union,/shop/zeitschriften/izpb/europaeische-union-345/,1700288557.785588,TRUE
Die EU im Krisenmodus: Herausforderungen und Reformimpulse,Europäische Union,/shop/zeitschriften/izpb/europaeische-union-345/,1700288562.224342,TRUE
Motive und Leitbilder der europäischen Einigung,Europäische Union,/shop/zeitschriften/izpb/europaeische-union-345/,1700288565.662446,TRUE
Vertragsgrundlagen und Entscheidungsverfahren,Europäische Union,/shop/zeitschriften/izpb/europaeische-union-345/,1700288570.978657,TRUE
Ausgewählte Bereiche gemeinschaftlichen Handelns,Europäische Union,/shop/zeitschriften/izpb/europaeische-union-345/,1700288576.882095,TRUE
Das auswärtige Handeln der EU,Europäische Union,/shop/zeitschriften/izpb/europaeische-union-345/,1700288581.469026,TRUE
Der Weg der EU – Rückblick und Ausblick,Europäische Union,/shop/zeitschriften/izpb/europaeische-union-345/,1700288585.045992,TRUE
Literatur,Europäische Union,/shop/zeitschriften/izpb/europaeische-union-345/,1700288587.047993,FALSE
